Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
785389;114375;57106;37625;24464;17104;15846;8024;45;91;15;1
386949;80792;23506;22118;9566;7147;5392;1697;8;42;6;0
21453;14085;4756;5062;2176;2117;2867;862;48;66;9;1
322637;56936;17810;25793;15870;8050;3621;2100;25;69;8;0
19412;12985;6416;6131;7126;7419;2677;1884;80;53;-1;1
164792;18239;6366;3878;2854;2890;3037;1909;58;69;-1;1
60284;8809;2827;2599;2970;6319;4137;3169;76;45;6;0
7468;29038;7696;10410;7955;6836;2420;1257;59;45;-1;1
98384;63901;13367;8150;4140;4984;2227;1097;29;60;24;1
61174;23717;22419;23084;5549;10078;3420;1918;77;95;-1;1
724315;271645;57873;47452;23335;13949;13990;5262;14;65;24;1
1080829;176533;25979;20319;16202;13339;11126;3241;28;66;65;1
46300;16912;6874;13668;4379;3840;3211;866;68;85;8;1
169222;87458;14120;10130;8527;4878;2456;1583;48;42;22;1
26068;16222;6663;6828;5521;6149;921;857;67;51;23;1
251923;55386;5644;8643;9333;7671;6547;1791;50;52;-1;1
161807;35948;8239;5277;6135;4539;2814;1703;41;45;13;0
36637;16674;6259;8213;3357;4518;3328;1406;66;82;-1;1
23310;26920;4787;5929;5418;5726;2624;1530;58;73;-1;1
97504;12486;11451;6214;6544;5351;1878;1960;78;65;8;1
52995;42459;7692;6573;5987;5611;7901;2478;39;61;-1;0
111084;28098;4173;13046;7044;9389;2494;1282;85;40;9;1
11556;14256;4585;5784;7562;3843;3341;2133;67;74;-1;0
457307;78339;20713;14342;9382;9589;5448;1923;23;56;8;1
30600;10218;2837;2423;2293;1997;1759;813;47;62;-1;1
125279;37794;6721;8717;7770;5557;4715;2341;49;57;-1;1
55544;8231;6310;8780;6065;5051;3237;1849;46;65;18;0
27797;24949;7770;8796;10902;7820;6080;3866;73;67;-1;0
337451;91420;28909;16643;16231;8139;5712;2174;56;76;9;1
95907;36823;4636;10922;4846;4997;1252;1223;72;65;-1;1
216096;48616;8741;18288;9356;5448;3911;1357;60;74;14;1
