Flag;Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength
1;262466;17013;25803;16111;2057;3064;1616;3629;0;0;-1
1;156671;5978;2173;1203;1025;591;361;121;0;0;-1
1;420205;9451;2731;3809;1719;4884;2811;1304;0;0;-1
1;1011946;57480;4534;10354;7409;2815;5016;1030;0;0;-1
1;937903;225754;88704;38777;12663;16150;15275;7426;34;51;-1
1;778863;302268;11871;58241;32758;61322;32156;6088;40;40;-1
1;77880;35779;3652;6341;6655;3018;974;1079;38;30;-1
1;149627;16884;4242;4484;5116;3295;2897;1968;41;37;51
1;85213;8680;2364;797;1570;1836;1647;279;53;21;-1
1;627194;102265;15012;16021;30043;3514;7110;1281;35;27;39
1;155205;5339;1606;1882;1480;3200;771;218;51;41;-1
1;1281057;210787;154969;212488;57353;44208;9630;7285;47;60;61
1;803646;132326;44743;47114;30932;20634;10477;1949;47;60;124
1;786571;27861;1877;999;1488;628;107;68;47;60;-1
1;306815;68674;4381;15925;9011;5937;1771;2596;47;60;-1
1;14803;66714;1988;459;2346;2510;1047;694;30;43;-1
1;2672100;123865;63370;41071;38014;10778;10448;2028;38;64;-1
1;634400;168388;15903;42198;46112;16325;4568;3412;21;64;33
1;457508;10779;2565;4218;1586;1308;746;392;21;56;-1
1;415161;70218;37256;46652;24778;11341;8627;3780;29;94;-1
1;423165;6795;2134;6196;2276;1238;1948;295;35;97;-1
1;942550;31125;23783;14043;13355;10121;1436;687;35;97;-1
1;246513;40633;18656;11854;25947;19177;19203;5268;48;100;-1
1;592314;147051;22947;33221;87812;35245;14431;2999;56;91;42
1;999832;157703;179466;79549;5905;24206;47956;15364;54;94;36
1;1953343;120665;63957;34656;13468;15088;8001;17144;53;90;-1
1;333804;125555;9266;27108;10247;6817;7285;3649;35;84;-1
1;47656;20904;9896;13593;4889;4166;1557;964;29;97;-1
1;1739207;380740;33044;37462;64554;28836;17513;11480;30;74;-1
1;71054;6386;572;3017;2655;3283;2453;701;47;64;60
1;785295;33929;4886;9775;10127;6560;2494;1164;57;66;-1
1;590374;28729;20201;38549;30805;14311;6021;2453;63;66;84
1;1462830;294353;39566;47970;51002;70230;84910;37151;63;66;154
1;416656;43106;2362;21527;16542;11442;5406;1141;63;66;-1
